domain,pc1,afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin
reuters.com,1,0.9626,0.9501,0.9501,0.9751,0.666579723358154,1,1,1,1,1,1,1,1,1,1
apnews.com,0.998049167729267,0.9604,0.9334,0.9334,0.9874,0.666579723358154,1,1,1,1,1,1,1,1,1,1
charitynavigator.org,0.985751566494374,0.929422616958618,0.934418976306915,0.909962117671967,0.920179724693299,0.666579723358154,1,1,1,1,1,1,1,1,1,1
rollcall.com,0.982850843623789,0.9166,0.9115,0.9115,0.9218,0.666579723358154,1,1,1,1,1,1,1,1,1,1
smithsonianmag.com,0.971184072481041,0.8912,0.8832,0.8832,0.8991,0.649187982082367,1,0.996537327766418,1,1,1,1,1,1,1,1
climateactiontracker.org,0.970824619355302,0.891365468502045,0.892937481403351,0.87770414352417,0.892656207084656,0.649187982082367,1,0.996537327766418,1,1,1,1,1,1,1,1
stripes.com,0.970705909096091,0.9854,0.9865,0.9844,0.9844,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
drugs.com,0.965142662952843,0.880084156990051,0.855710029602051,0.851192533969879,0.902273058891296,0.651173233985901,1,0.996537327766418,1,1,1,1,1,1,1,1
cbo.gov,0.964973906244947,0.881420493125916,0.852116823196411,0.851726233959198,0.897996187210083,0.651173233985901,1,1,1,1,1,1,1,1,1,1
usaspending.gov,0.964973906244947,0.881420493125916,0.852116823196411,0.851726233959198,0.897996187210083,0.651173233985901,1,1,1,1,1,1,1,1,1,1
africacheck.org,0.964973906244947,0.881420493125916,0.852116823196411,0.851726233959198,0.897996187210083,0.651173233985901,1,1,1,1,1,1,1,1,1,1
nature.com,0.964534054690512,0.88043475151062,0.853453874588013,0.851192533969879,0.897996187210083,0.651173233985901,1,0.996537327766418,1,1,1,1,1,1,1,1
cdc.gov,0.964445730133301,0.88043475151062,0.852419078350067,0.851192533969879,0.897996187210083,0.651173233985901,1,0.996537327766418,1,1,1,1,1,1,1,1
leadstories.com,0.963826303031933,0.873923242092133,0.854090809822083,0.848892688751221,0.895097076892853,0.651173233985901,1,1,1,1,1,1,1,1,1,1
climatefeedback.org,0.963420694296498,0.873923242092133,0.854090809822083,0.848892688751221,0.895097076892853,0.651173233985901,1,0.996537327766418,1,1,1,1,1,1,1,1
sandiegouniontribune.com,0.961102639657948,0.9632,0.973,0.9533,0.9533,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
indystar.com,0.957207994613488,0.9512,0.9457,0.9457,0.9566,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
nasa.gov,0.956315766887341,0.858011543750763,0.834717571735382,0.835326790809631,0.883305966854096,0.632299184799194,1,0.996537327766418,1,1,1,1,1,1,1,1
hopkinsmedicine.org,0.956072309009315,0.866002440452576,0.855732262134552,0.831863701343536,0.881191551685333,0.600309431552887,1,0.996537327766418,1,1,1,1,1,1,1,1
armytimes.com,0.955899260798174,0.97,0.9903,0.9498,0.9498,0.572886228561401,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
skepticalinquirer.org,0.95553129695965,0.865516006946564,0.852518498897553,0.832222938537598,0.878787100315094,0.600309431552887,1,0.996537327766418,1,1,1,1,1,1,1,1
afp.com,0.954600577620557,0.9454,0.935,0.935,0.9557,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
cnet.com,0.951854977853014,0.9474,0.9846,0.9102,0.9102,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
militarytimes.com,0.951497998550873,0.9618,0.9928,0.9309,0.9309,0.572886228561401,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
truthorfiction.com,0.950775844278038,0.836065351963043,0.808549642562866,0.803138911724091,0.874540328979492,0.66706520318985,1,1,1,1,1,1,1,1,1,1
prri.org,0.950775844278038,0.836065351963043,0.808549642562866,0.803138911724091,0.874540328979492,0.66706520318985,1,1,1,1,1,1,1,1,1,1
nationmaster.com,0.950775844278038,0.836065351963043,0.808549642562866,0.803138911724091,0.874540328979492,0.66706520318985,1,1,1,1,1,1,1,1,1,1
bringmethenews.com,0.950669426837722,0.9342,0.9378,0.9306,0.9306,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
upi.com,0.950555959253076,0.9525,0.9604,0.9445,0.9445,0.572886228561401,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
americanscientist.org,0.950370235542603,0.836065351963043,0.808549642562866,0.803138911724091,0.874540328979492,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
airspacemag.com,0.950370235542603,0.836065351963043,0.808549642562866,0.803138911724091,0.874540328979492,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
tennessean.com,0.949767015915909,0.9407,0.9391,0.9391,0.9423,0.614368379116058,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
